date,Plate.SN,DIV,well,trt,dose,units,meanfiringrate,burst.per.min,mean.isis,per.spikes.in.burst,mean.dur,mean.IBIs,nAE,nABE,ns.n,ns.peak.m,ns.durn.m,ns.percent.of.spikes.in.ns,ns.mean.insis,ns.durn.sd,ns.mean.spikes.in.ns,r,cv.time,cv.network,file.name,source,identity,eligible_identity
20170920,MW1147-13,5,C3,Glycerol,0.1,uM,0.381390579,0.2,0.075992479,46.735,0.468,42.789,12,1,0,,,0.0,,,,0.004623286,0.337081944,1.673218652,ON_20170920_MW1147-13_05_00_000.h5,TC,56-81-5,True
20170920,MW1147-13,5,C4,Glycerol,0.3,uM,0.970711569,2.525,0.065153502,28.65311111,0.396444444,48.36866667,12,9,4,12.75,0.190982143,0.857409133,170.2,0.021560085,23.0,0.021715824,0.309182207,1.674192172,ON_20170920_MW1147-13_05_00_000.h5,TC,56-81-5,True
20170920,MW1147-13,5,C5,Glycerol,1.0,uM,1.005459051,1.735,0.08100496,32.7038,0.6866,18.9968,12,5,5,9.4,0.207333333,0.666544923,148.2375,0.04552224,14.6,0.008997087,0.495404375,2.48914177,ON_20170920_MW1147-13_05_00_000.h5,TC,56-81-5,True
20170920,MW1147-13,5,C6,Glycerol,3.0,uM,0.67868486,1.53,0.06658024,26.65314286,0.462285714,53.49357143,10,7,6,9.5,0.246375661,1.440557227,142.37,0.086639927,15.16666667,0.031182026,0.416361034,1.497631169,ON_20170920_MW1147-13_05_00_000.h5,TC,56-81-5,True
20170920,MW1147-13,5,C7,Glycerol,10.0,uM,0.661126292,1.29,0.073852187,29.57014286,0.522285714,52.14057143,12,7,5,8.6,0.244416667,1.04123282,112.9375,0.084407453,15.0,0.013907094,0.413000796,2.391650866,ON_20170920_MW1147-13_05_00_000.h5,TC,56-81-5,True
20170920,MW1147-13,5,C8,Glycerol,20.0,uM,1.22746272,4.851428571,0.08153533,52.1825,0.616,32.3245,7,4,2,6.5,0.210416667,0.242625463,282.55,0.0677644,9.5,0.013656906,0.870321917,1.752369209,ON_20170920_MW1147-13_05_00_000.h5,TC,56-81-5,True
20170920,MW1147-13,5,D1,Carbofuran,0.03,uM,0.719801765,1.412307692,0.057332778,44.2904,0.401,48.7249,13,10,11,11.0,0.239573413,2.120679555,74.215,0.041467553,16.45454545,0.040550582,0.432114154,1.616953255,ON_20170920_MW1147-13_05_00_000.h5,TC,1563-66-2,True
20170920,MW1147-13,5,D2,Carbofuran,0.0,uM,1.554563359,4.358181818,0.086853639,43.61344444,0.637444444,19.72111111,11,9,8,9.0,0.21984375,0.719933149,87.59285714,0.042150723,14.0,0.013806295,0.440845848,1.395474766,ON_20170920_MW1147-13_05_00_000.h5,TC,1563-66-2,True
20170920,MW1147-13,5,D3,Carbofuran,0.1,uM,0.607341625,1.32,0.08283376,34.848,0.4945,45.7415,3,2,0,,,0.0,,,,0.012138938,1.019216629,1.958387112,ON_20170920_MW1147-13_05_00_000.h5,TC,1563-66-2,True
20170920,MW1147-13,5,D4,Carbofuran,0.3,uM,0.409999164,0.334285714,0.073067949,20.5995,0.394,59.8525,7,2,1,7.0,0.2,0.276147739,,,8.0,0.013708107,0.876314247,2.436284095,ON_20170920_MW1147-13_05_00_000.h5,TC,1563-66-2,True
20170920,MW1147-13,5,D5,Carbofuran,1.0,uM,0.87164428,2.018571429,0.077641441,35.01555556,0.490444444,46.35933333,14,9,3,8.0,0.260912698,0.28125567,205.725,0.037929015,10.33333333,0.006274554,0.43039678,2.467083466,ON_20170920_MW1147-13_05_00_000.h5,TC,1563-66-2,True
20170920,MW1147-13,5,D6,Carbofuran,3.0,uM,0.713309123,1.68,0.089486103,35.6368,0.5072,46.5146,9,5,2,5.0,0.172916667,0.377941934,119.85,0.008838835,11.0,0.002949298,0.889372197,1.461242928,ON_20170920_MW1147-13_05_00_000.h5,TC,1563-66-2,True
20170920,MW1147-13,5,D7,Carbofuran,10.0,uM,0.159136074,0.0,,0.0,,,2,0,0,,,0.0,,,,0.000211604,1.462314004,2.898869445,ON_20170920_MW1147-13_05_00_000.h5,TC,1563-66-2,True
20170920,MW1147-13,5,E1,Captan,0.03,uM,0.741974916,1.414285714,0.0808559,28.46222222,0.520555556,54.40433333,14,9,6,11.83333333,0.173050595,1.048173637,124.04,0.035618243,16.5,0.010988665,0.311434428,2.207689753,ON_20170920_MW1147-13_05_00_000.h5,TC,133-06-2,True
20170920,MW1147-13,5,E2,Captan,0.0,uM,1.323798409,2.781818182,0.06296347,29.8885,0.537166667,26.23783333,11,6,7,9.714285714,0.217321429,0.868317729,109.6833333,0.043595532,16.42857143,0.013119424,0.564303753,2.582605596,ON_20170920_MW1147-13_05_00_000.h5,TC,133-06-2,True
20170920,MW1147-13,5,E3,Captan,0.1,uM,0.742450185,1.9125,0.086702201,39.5325,0.5385,20.623,8,4,0,,,0.0,,,,0.00886467,0.797427621,2.083840668,ON_20170920_MW1147-13_05_00_000.h5,TC,133-06-2,True
20170920,MW1147-13,5,E4,Captan,0.3,uM,0.576438546,0.744,0.108744929,22.625,0.692,18.2315,10,2,0,,,0.0,,,,0.007417614,0.465662232,1.640772734,ON_20170920_MW1147-13_05_00_000.h5,TC,133-06-2,True
20170920,MW1147-13,5,E5,Captan,1.0,uM,0.919218758,1.722,0.083357908,32.735,0.564833333,36.86266667,10,6,0,,,0.0,,,,0.009559195,0.631917986,1.189143306,ON_20170920_MW1147-13_05_00_000.h5,TC,133-06-2,True
20170920,MW1147-13,5,E6,Captan,3.0,uM,0.881532527,2.165,0.069648018,42.617625,0.398375,29.80725,12,8,1,6.0,0.354166667,0.082798592,,,8.0,0.004611247,0.434805216,2.340599217,ON_20170920_MW1147-13_05_00_000.h5,TC,133-06-2,True
