date,Plate.SN,DIV,well,trt,dose,units,meanfiringrate,burst.per.min,mean.isis,per.spikes.in.burst,mean.dur,mean.IBIs,nAE,nABE,ns.n,ns.peak.m,ns.durn.m,ns.percent.of.spikes.in.ns,ns.mean.insis,ns.durn.sd,ns.mean.spikes.in.ns,r,cv.time,cv.network,file.name,source,identity,eligible_identity
20171011,MW1147-28,5,C1,Valinomycin,0.0001,uM,1.059759042,1.705714286,0.066807841,45.1896,0.5764,39.6224,7,5,0,,,0.0,,,,0.003685094,0.724335451,2.211435592,ON_20171011_MW1147-28_5_00_000.h5,NTP,2001-95-8,True
20171011,MW1147-28,5,C2,Valinomycin,0.0,uM,1.095163236,3.701538462,0.0811883,57.3645,0.5625,13.6945,13,6,0,,,0.0,,,,0.00086224,0.492741272,1.33355017,ON_20171011_MW1147-28_5_00_000.h5,NTP,2001-95-8,True
20171011,MW1147-28,5,C3,Valinomycin,0.0003,uM,0.79323329,2.106,0.053338001,45.656,0.399,29.883,10,3,0,,,0.0,,,,0.001581542,0.568883064,1.999542376,ON_20171011_MW1147-28_5_00_000.h5,NTP,2001-95-8,True
20171011,MW1147-28,5,C4,Valinomycin,0.001,uM,0.0,0.0,,0.0,,,0,0,0,,,0.0,,,,0.0,0.0,0.0,ON_20171011_MW1147-28_5_00_000.h5,NTP,2001-95-8,True
20171011,MW1147-28,5,C5,Valinomycin,0.003,uM,0.0,0.0,,0.0,,,0,0,0,,,0.0,,,,0.0,0.0,0.0,ON_20171011_MW1147-28_5_00_000.h5,NTP,2001-95-8,True
20171011,MW1147-28,5,C6,Valinomycin,0.01,uM,0.0,0.0,,0.0,,,0,0,0,,,0.0,,,,0.0,0.0,0.0,ON_20171011_MW1147-28_5_00_000.h5,NTP,2001-95-8,True
20171011,MW1147-28,5,C7,Valinomycin,0.03,uM,0.0,0.0,,0.0,,,0,0,0,,,0.0,,,,0.0,0.0,0.0,ON_20171011_MW1147-28_5_00_000.h5,NTP,2001-95-8,True
20171011,MW1147-28,5,C8,Valinomycin,0.1,uM,0.0,0.0,,0.0,,,0,0,0,,,0.0,,,,0.0,0.0,0.0,ON_20171011_MW1147-28_5_00_000.h5,NTP,2001-95-8,True
20171011,MW1147-28,7,C1,Valinomycin,0.0001,uM,0.772706017,1.86,0.030947665,71.8721,0.4207,38.934,10,10,19,11.63157895,0.221312657,13.94067797,47.34722222,0.063289908,51.94736842,0.194971696,0.3630646,2.416303523,ON_20171011_MW1147-28_7_00_000.h5,NTP,2001-95-8,True
20171011,MW1147-28,7,C2,Valinomycin,0.0,uM,1.46366431,3.77625,0.031645162,58.8315,0.3635,26.406,16,16,33,15.24242424,0.272569089,10.03506112,26.8640625,0.032155286,64.18181818,0.187964902,0.177414595,2.372012875,ON_20171011_MW1147-28_7_00_000.h5,NTP,2001-95-8,True
20171011,MW1147-28,7,C3,Valinomycin,0.0003,uM,0.963108591,2.392,0.044218869,41.63885714,0.345714286,37.9275,15,14,21,13.14285714,0.17334845,6.176335527,41.1525,0.030532583,38.42857143,0.073821258,0.287045027,2.213211923,ON_20171011_MW1147-28_7_00_000.h5,NTP,2001-95-8,True
20171011,MW1147-28,7,C4,Valinomycin,0.001,uM,0.0,0.0,,0.0,,,0,0,0,,,0.0,,,,0.0,0.0,0.0,ON_20171011_MW1147-28_7_00_000.h5,NTP,2001-95-8,True
