case_id,date,identity,dose,name,model,prediction,target,day7,day5,sigma,symmetric_lower_0.8,symmetric_upper_0.8,scaled_lower_0.8,scaled_upper_0.8,symmetric_lower_0.9,symmetric_upper_0.9,scaled_lower_0.9,scaled_upper_0.9,rel__rep_count_d7,rel__rep_sd_log2_ns_d7,rel__plate_ctrl_count_d7,rel__plate_ctrl_median_ns_d7,rel__plate_ctrl_zero_ns_frac_d7,rel__plate_ctrl_iqr_ratio_d7,rel__plate_ctrl_silent_frac_d7,day12_ctrl_median_ns,abstain,flag_low_reference_activity,flag_few_controls,flag_replicates_disagree,flag_controls_disagree
20170920|131860-33-8|0.1,20170920,131860-33-8,0.1,Azoxystrobin,extra_trees_relative_day7,0.03434464482915008,-0.3381102112328181,-0.16538992473950478,-0.4000356232352185,0.306377188458668,-1.339914869991349,1.408604159649649,-0.4396744544777936,0.5083637441360938,-2.868944963071364,2.937634252729664,-0.6055213062106883,0.6742105958689886,3.0,0.2598267806224048,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,False,False,False,False,False
20170920|131860-33-8|0.3,20170920,131860-33-8,0.3,Azoxystrobin,extra_trees_relative_day7,0.06289621587726126,-0.3075846822380312,-0.12942637611842264,-0.3228188065690338,0.32822580837317306,-1.3113632989432378,1.4371557306977603,-0.44492652000287525,0.5707189517573977,-2.8403933920232527,2.966185823777775,-0.622600377674948,0.7483928094294705,3.0,0.050204880368286665,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,False,False,False,False,False
20170920|131860-33-8|1,20170920,131860-33-8,1.0,Azoxystrobin,extra_trees_relative_day7,0.03182838083852378,-0.1822486680801667,-0.30484108963377055,-0.40466044385897376,0.3720187953890845,-1.3424311339819752,1.4060878956590228,-0.5437497658333775,0.6074065275104251,-2.87146122706199,2.9351179887390377,-0.7451294648610259,0.8087862265380735,3.0,0.22361543010736362,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,False,False,False,False,False
20170920|131860-33-8|3,20170920,131860-33-8,3.0,Azoxystrobin,extra_trees_relative_day7,-5.628269538187203,-6.789369411491903,-5.14118239164545,-3.9547275459090985,3.1769257547761813,-7.002529053007702,-4.254010023366703,-10.543529360304133,-0.7130097160702729,-8.531559146087716,-2.724979930286689,-12.263249869750155,1.006710793375749,3.0,0.06199180045431993,6.0,4.228822364638304,0.0,0.11872776137482022,0.0,104.5,True,False,False,False,False
20170920|133-06-2|0.03,20170920,133-06-2,0.03,Captan,extra_trees_relative_day7,-0.02859658200106448,0.667307005875778,0.3602115086227211,0.3876938321129076,0.3208712829741176,-1.4028560968215635,1.3456629328194345,-0.5250405807009666,0.46784741669883767,-2.9318861899015785,2.8746930258994494,-0.6987333166401872,0.6415401526380582,3.0,0.23391164020068056,6.0,4.179163600839658,0.0,0.22475337146455368,0.0,109.0,False,False,False,False,False
20170920|133-06-2|0.1,20170920,133-06-2,0.1,Captan,extra_trees_relative_day7,0.08999027962346258,-0.0673836318553773,0.08368902785710373,-0.6782619960333803,0.2820429532973809,-1.2842692351970364,1.4642497944439616,-0.34637950156189773,0.5263600608088229,-2.8132993282770515,2.9932798875239763,-0.4990538442345372,0.6790344034814624,3.0,0.141893606634831,6.0,4.179163600839658,0.0,0.22475337146455368,0.0,109.0,False,False,False,False,False
20170920|133-06-2|0.3,20170920,133-06-2,0.3,Captan,extra_trees_relative_day7,0.11600617627319988,-0.3740474152925738,0.08957062773142381,-1.1257901031861446,0.32166846733053034,-1.2582533385472991,1.4902656910936989,-0.3816712060624403,0.61368355860884,-2.787283431627314,3.019295784173714,-0.5557954705904141,0.7878078231368139,3.0,0.33324619159914926,6.0,4.179163600839658,0.0,0.22475337146455368,0.0,109.0,False,False,False,False,False
20170920|133-06-2|1,20170920,133-06-2,1.0,Captan,extra_trees_relative_day7,0.1905963850855118,-0.7152668833213426,0.14542836543225574,-1.0002376175647123,0.3348711903903011,-1.1836631297349873,1.5648558999060107,-0.32750791912599075,0.7087006892970144,-2.7126932228150022,3.0938859929860256,-0.5087790279238658,0.8899717980948894,3.0,0.33424715491045226,6.0,4.179163600839658,0.0,0.22475337146455368,0.0,109.0,False,False,False,False,False
20170920|133-06-2|3,20170920,133-06-2,3.0,Captan,extra_trees_relative_day7,0.12895243885095772,-0.6179096613998655,-0.38988038742245523,-2.000950705168433,0.35979420622876546,-1.2453070759695413,1.5032119536714568,-0.4277121301739786,0.6856170078758941,-2.774337169049556,3.0322420467514717,-0.6224744643900803,0.8803793420919958,3.0,0.22730141007735388,6.0,4.179163600839658,0.0,0.22475337146455368,0.0,109.0,False,False,False,False,False
20170920|133-06-2|10,20170920,133-06-2,10.0,Captan,extra_trees_relative_day7,-1.1923370739250272,-5.479087913952852,-5.064903645156432,-3.1788625535109922,2.2398665722380255,-2.566596588745526,0.18192244089547183,-4.657802438632604,2.27312829078255,-4.095626681825541,1.7109525339754867,-5.8702778881797935,3.485603740329739,3.0,0.1830905048834316,6.0,4.179163600839658,0.0,0.22475337146455368,0.0,109.0,True,False,False,False,False
