case_id,low_reference_activity,few_controls,replicates_disagree,controls_disagree
20160803|218-01-9|0.15,False,False,False,False
20160803|218-01-9|0.49,False,False,False,False
20160803|218-01-9|1.46,False,False,False,False
20160803|218-01-9|4.85,False,False,False,False
20160803|218-01-9|9.7,False,False,False,False
20160803|50-32-8|0.03,False,False,False,False
20160803|50-32-8|0.1,False,False,False,False
20160803|50-32-8|0.3,False,False,False,False
20160803|50-32-8|1,False,False,False,False
20160803|50-32-8|3,False,False,False,False
20160803|50-32-8|10,False,False,False,False
20160803|50-32-8|20,False,False,False,False
20160803|53-70-3|0.02,False,False,True,False
20160803|53-70-3|0.05,False,False,False,False
20160803|53-70-3|0.15,False,False,False,False
20160803|53-70-3|0.5,False,False,False,False
20160803|53-70-3|1.5,False,False,False,False
20160803|53-70-3|5,False,False,False,False
20160803|53-70-3|10,False,False,False,False
20160803|85-01-8|0.03,False,False,False,False
20160803|85-01-8|0.1,False,False,False,False
20160803|85-01-8|0.3,False,False,False,False
20160803|85-01-8|1,False,False,False,False
20160803|85-01-8|3,False,False,False,False
20160803|85-01-8|10,False,False,False,False
20160803|85-01-8|20,False,False,False,False
20160803|91-20-3|0.03,False,False,False,False
20160803|91-20-3|0.1,False,False,False,False
20160803|91-20-3|0.3,False,False,False,False
20160803|91-20-3|1,False,False,True,False
20160803|91-20-3|3,False,False,False,False
20160803|91-20-3|10,False,False,False,False
20160803|91-20-3|20,False,False,False,False
20160907|12108-13-3|0.03,False,False,False,False
20160907|12108-13-3|0.1,False,False,False,False
20160907|12108-13-3|0.3,False,False,False,False
20160907|12108-13-3|1,False,False,True,False
20160907|12108-13-3|3,False,False,False,False
20160907|12108-13-3|10,False,False,False,False
20160907|12108-13-3|20,False,False,False,False
20160907|2465-27-2|0.03,True,False,False,False
20160907|2465-27-2|0.1,True,False,False,False
20160907|2465-27-2|0.3,True,False,False,False
20160907|2465-27-2|1,True,False,False,False
20160907|2465-27-2|3,True,False,False,False
20160907|2465-27-2|10,True,False,False,False
20160907|2465-27-2|20,True,False,False,False
20160907|50-70-4|0.03,True,False,False,False
20160907|50-70-4|0.1,True,False,False,False
20160907|50-70-4|0.3,True,False,False,False
20160907|50-70-4|1,True,False,False,False
20160907|50-70-4|3,True,False,False,False
20160907|50-70-4|10,True,False,False,False
20160907|50-70-4|20,True,False,True,False
20160907|50-81-7|0.03,False,False,False,False
20160907|50-81-7|0.1,False,False,False,False
20160907|50-81-7|0.3,False,False,True,False
20160907|50-81-7|1,False,False,False,False
20160907|50-81-7|3,False,False,False,False
20160907|50-81-7|10,False,False,False,False
20160907|50-81-7|20,False,False,False,False
20160907|52645-53-1|0.03,False,False,True,False
20160907|52645-53-1|0.1,False,False,False,False
20160907|52645-53-1|0.3,False,False,False,False
20160907|52645-53-1|1,False,False,False,False
20160907|52645-53-1|3,False,False,False,False
20160907|52645-53-1|10,False,False,False,False
20160907|52645-53-1|20,False,False,False,False
20160907|56-38-2|0.03,False,False,False,False
20160907|56-38-2|0.1,False,False,False,False
20160907|56-38-2|0.3,False,False,False,False
20160907|56-38-2|1,False,False,False,False
20160907|56-38-2|3,False,False,False,False
20160907|56-38-2|10,False,False,False,False
20160907|56-38-2|20,False,False,False,False
20160907|70-30-4|0.03,True,False,False,False
20160907|70-30-4|0.1,True,False,True,False
20160907|70-30-4|0.3,True,False,False,False
20160907|70-30-4|1,True,False,False,False
20160907|70-30-4|3,True,False,False,False
20160907|70-30-4|10,True,False,False,False
20160907|70-30-4|20,True,False,False,False
20160907|848641-69-0|0.03,True,False,False,False
20160907|848641-69-0|0.1,True,False,False,False
20160907|848641-69-0|0.3,True,False,False,False
20160907|848641-69-0|1,True,False,False,False
20160907|848641-69-0|3,True,False,False,False
20160907|848641-69-0|10,True,False,False,False
20160907|848641-69-0|20,True,False,False,False
20160921|101-02-0|0.03,False,False,False,False
20160921|101-02-0|0.1,False,False,False,False
20160921|101-02-0|0.3,False,False,False,False
20160921|101-02-0|1,False,False,False,False
20160921|101-02-0|3,False,False,False,False
20160921|101-02-0|10,False,False,False,False
20160921|101-02-0|20,False,False,False,False
20160921|111988-49-9|0.03,False,False,True,False
20160921|111988-49-9|0.1,False,False,False,False
20160921|111988-49-9|0.3,False,False,False,False
20160921|111988-49-9|1,False,False,False,False
20160921|111988-49-9|3,False,False,False,False
20160921|111988-49-9|10,False,False,False,False
20160921|111988-49-9|20,False,False,False,False
20160921|115-28-6|0.03,False,False,False,False
20160921|115-28-6|0.1,False,False,False,False
20160921|115-28-6|0.3,False,False,False,False
20160921|115-28-6|1,False,False,False,False
20160921|115-28-6|3,False,False,False,False
20160921|115-28-6|10,False,False,False,False
20160921|115-28-6|20,False,False,False,False
20160921|1461-22-9|0.03,False,False,False,True
20160921|1461-22-9|0.1,False,False,False,True
20160921|1461-22-9|0.3,False,False,False,True
20160921|1461-22-9|1,False,False,False,True
20160921|1461-22-9|3,False,False,False,True
20160921|1461-22-9|10,False,False,False,True
20160921|1461-22-9|20,False,False,False,True
20160921|153719-23-4|0.03,False,False,False,False
20160921|153719-23-4|0.1,False,False,False,False
20160921|153719-23-4|0.3,False,False,False,False
20160921|153719-23-4|1,False,False,False,False
20160921|153719-23-4|3,False,False,False,False
20160921|153719-23-4|10,False,False,False,False
20160921|153719-23-4|20,False,False,False,False
20160921|210880-92-5|0.03,False,False,False,False
20160921|210880-92-5|0.1,False,False,False,False
20160921|210880-92-5|0.3,False,False,False,False
20160921|210880-92-5|1,False,False,False,False
20160921|210880-92-5|3,False,False,False,False
20160921|210880-92-5|10,False,False,False,False
20160921|210880-92-5|20,False,False,False,False
20160921|2155-70-6|0.03,False,False,True,True
20160921|2155-70-6|0.1,False,False,False,True
20160921|2155-70-6|0.3,False,False,False,True
20160921|2155-70-6|1,False,False,False,True
20160921|2155-70-6|3,False,False,False,True
20160921|2155-70-6|10,False,False,False,True
20160921|2155-70-6|20,False,False,False,True
20160921|62-38-4|0.03,False,False,True,True
20160921|62-38-4|0.1,False,False,False,True
20160921|62-38-4|0.3,False,False,False,True
20160921|62-38-4|1,False,False,False,True
20160921|62-38-4|3,False,False,False,True
20160921|62-38-4|10,False,False,False,True
20160921|62-38-4|20,False,False,False,True
20160921|7487-94-7|0.03,False,False,True,True
20160921|7487-94-7|0.1,False,False,False,True
20160921|7487-94-7|0.3,False,False,False,True
20160921|7487-94-7|1,False,False,False,True
20160921|7487-94-7|3,False,False,False,True
20160921|7487-94-7|10,False,False,False,True
