case_id,date,identity,dose,name,model,prediction,target,day7,day5,sigma,symmetric_lower_0.8,symmetric_upper_0.8,scaled_lower_0.8,scaled_upper_0.8,symmetric_lower_0.9,symmetric_upper_0.9,scaled_lower_0.9,scaled_upper_0.9,rel__rep_count_d7,rel__rep_sd_log2_ns_d7,rel__plate_ctrl_count_d7,rel__plate_ctrl_median_ns_d7,rel__plate_ctrl_zero_ns_frac_d7,rel__plate_ctrl_iqr_ratio_d7,rel__plate_ctrl_silent_frac_d7,day12_ctrl_median_ns
20160720|1241-94-7|0.03,20160720,1241-94-7,0.03,2-Ethylhexyl diphenyl phosphate,extra_trees_relative_day7,0.03341576986842314,0.24773837163956994,0.10710889325571536,-0.16992500144231243,0.3716069311102898,-1.361292272178887,1.4281238119157333,-0.5221710019695683,0.5890025417064145,-3.0321916374418927,3.0990231771787387,-0.7400554532488061,0.8068869929856523,3.0,0.12127465891633347,6.0,3.878422789330347,0.0,0.15752923976608188,0.0,142.5
20160720|1241-94-7|0.1,20160720,1241-94-7,0.1,2-Ethylhexyl diphenyl phosphate,extra_trees_relative_day7,-0.0319573374211225,0.576324232530665,0.25548180225431416,-0.16992500144231243,0.39230247174619853,-1.4266653794684325,1.3627507046261877,-0.6184858588626323,0.5545711840203873,-3.097564744731438,3.0336500698891933,-0.8485047353580775,0.7845900605158325,3.0,0.17973024118581318,6.0,3.878422789330347,0.0,0.15752923976608188,0.0,142.5
20160720|1241-94-7|0.3,20160720,1241-94-7,0.3,2-Ethylhexyl diphenyl phosphate,extra_trees_relative_day7,-0.034528048822866385,0.6331609587885376,0.21228457318185012,0.6374299206152916,0.35576927132453645,-1.4292360908701764,1.3601799932244438,-0.5664360527553595,0.4973799551096267,-3.100135456133182,3.031079358487449,-0.7750344021805337,0.7059783045348008,3.0,0.35796491642782896,6.0,3.878422789330347,0.0,0.15752923976608188,0.0,142.5
20160720|1241-94-7|1,20160720,1241-94-7,1.0,2-Ethylhexyl diphenyl phosphate,extra_trees_relative_day7,0.05894168109865037,0.6335795575696673,0.11664491885227059,-0.16992500144231243,0.3762801669188329,-1.3357663609486599,1.4536497231459604,-0.5036320110025038,0.6215153731998045,-3.0066657262116654,3.124549088408966,-0.7242565226374529,0.8421398848347537,3.0,0.1356447390980509,6.0,3.878422789330347,0.0,0.15752923976608188,0.0,142.5
20160720|1241-94-7|3,20160720,1241-94-7,3.0,2-Ethylhexyl diphenyl phosphate,extra_trees_relative_day7,0.0033231752091189577,0.7502831423963601,-1.9381877172653506,-0.16992500144231243,0.6380012858400175,-1.3913848668381912,1.398031217256429,-0.9505478243690366,0.9571941747872745,-3.0622842321011965,3.068930582519435,-1.3246273918985323,1.3312737423167702,3.0,1.5065788294403875,6.0,3.878422789330347,0.0,0.15752923976608188,0.0,142.5
20160720|1241-94-7|10,20160720,1241-94-7,10.0,2-Ethylhexyl diphenyl phosphate,extra_trees_relative_day7,0.0017747260024481859,0.7593435851262011,-0.9675838790243004,-0.16992500144231243,0.7018518312213936,-1.392933316044862,1.3964827680497582,-1.0475587513140612,1.0511082033189574,-3.0638326813078676,3.0673821333127638,-1.4590758364989318,1.462625288503828,3.0,1.3533189691032024,6.0,3.878422789330347,0.0,0.15752923976608188,0.0,142.5
20160720|1241-94-7|20,20160720,1241-94-7,20.0,2-Ethylhexyl diphenyl phosphate,extra_trees_relative_day7,-1.651171435293176,0.5606196533217919,-4.634246195600903,-0.16992500144231243,1.8490390438816218,-3.045879477340486,-0.25646339324586576,-4.415656022066672,1.11331315148032,-4.716778842603492,1.4144359720171398,-5.499803877614777,2.197461007028426,3.0,0.2879158813545811,6.0,3.878422789330347,0.0,0.15752923976608188,0.0,142.5
20160720|1330-78-5|0.03,20160720,1330-78-5,0.03,Tricresyl phosphate,extra_trees_relative_day7,0.021159755052700426,0.3044494369235628,-0.20235812283354332,-0.27532768202522334,0.32616347958570246,-1.3735482869946096,1.4158677971000106,-0.46648484881149616,0.508804358916897,-3.0444476522576154,3.086767162363016,-0.6577244216701785,0.7000439317755793,3.0,0.1967019004616774,6.0,4.095975460957729,0.0,0.19114026292335115,0.0,185.5
20160720|1330-78-5|0.1,20160720,1330-78-5,0.1,Tricresyl phosphate,extra_trees_relative_day7,-0.015384820460471267,0.301357538563897,-0.3314828020858589,0.7229075531787115,0.3205242607065172,-1.4100928625077813,1.379323221586839,-0.49459826992339395,0.46382862900245136,-3.080992227770787,3.0502225868498445,-0.6825313971582994,0.6517617562373568,3.0,0.09748368251126936,6.0,4.095975460957729,0.0,0.19114026292335115,0.0,185.5
20160720|1330-78-5|0.3,20160720,1330-78-5,0.3,Tricresyl phosphate,extra_trees_relative_day7,-0.030893210770241923,0.35658357216060366,-0.056611816781762386,0.7698144737402133,0.32686391554819627,-1.4256012528175521,1.3638148312770682,-0.5195850312569015,0.45779860971641767,-3.0965006180805577,3.0347141965400737,-0.7112352910338505,0.6494488694933668,3.0,0.2605537614353601,6.0,4.095975460957729,0.0,0.19114026292335115,0.0,185.5
20160720|1330-78-5|1,20160720,1330-78-5,1.0,Tricresyl phosphate,extra_trees_relative_day7,-0.009161091842533917,0.196406870101807,0.08856671512814675,1.6625047495056082,0.3518315212697705,-1.4038691338898441,1.3855469502047761,-0.5351817948178148,0.516859611132747,-3.0747684991528494,3.056446315467782,-0.7414713215646982,0.7231491378796304,3.0,0.6407543745428469,6.0,4.095975460957729,0.0,0.19114026292335115,0.0,185.5
20160720|1330-78-5|3,20160720,1330-78-5,3.0,Tricresyl phosphate,extra_trees_relative_day7,0.041532057006488446,0.5806361046836229,-0.06869785341416361,0.597537193491779,0.34738710431579545,-1.3531759850408216,1.4362400990537987,-0.4778438310812354,0.5609079450942123,-3.024075350303827,3.107139464316804,-0.6815274609295339,0.7645915749425107,3.0,0.036950994809653324,6.0,4.095975460957729,0.0,0.19114026292335115,0.0,185.5
20160720|1330-78-5|10,20160720,1330-78-5,10.0,Tricresyl phosphate,extra_trees_relative_day7,-0.07039009198880433,0.6324821366810546,-0.45660557455853396,1.4707800512058407,0.3705553590484317,-1.4650981340361144,1.3243179500585058,-0.6244046662215003,0.48362448224389165,-3.13599749929912,2.9952173153215114,-0.8416725488027486,0.70089236482514,3.0,2.4113404387808646,6.0,4.095975460957729,0.0,0.19114026292335115,0.0,185.5
20160720|1330-78-5|20,20160720,1330-78-5,20.0,Tricresyl phosphate,extra_trees_relative_day7,-0.26804612837678243,0.5508088206543127,0.7622692193036965,-1.1897334825224928,0.45780196217861785,-1.6627541704240927,1.1266619136705276,-0.9525024530959465,0.41641019634238163,-3.333653535687098,2.797561278933533,-1.2209256739056846,0.6848334171521198,3.0,0.6911140487036446,6.0,4.095975460957729,0.0,0.19114026292335115,0.0,185.5
